Component,Quantity,Reference Designator,Customer Reference,Value,Quantity Per PCB,Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Footprint,Description,Datasheet,Part,References,UserGuide
1, 1, BZ1, BZ1,Speaker,1,445-2526-1-ND,TDK Corporation,PS1420P02CT,PS1420P02CT,"Buzzer, polarized",https://product.tdk.com/info/en/catalog/datasheets/piezoelectronic_buzzer_ps_en.pdf,Buzzer,BZ1,
2, 2, C15 C16, C15 C16,22pF,2,BC1005CT-ND,Vishay Beyschlag/Draloric/BC Components,K220J15C0GF5TL2,C_Disc_D3.8mm_W2.6mm_P2.50mm,Unpolarized capacitor,https://www.vishay.com/docs/45171/kseries.pdf,C,C15 C16,
3, 1, C25, C25,100pF,1,BC1013CT-ND,Vishay Beyschlag/Draloric/BC Components,K101J15C0GF5TL2,C_Disc_D3.8mm_W2.6mm_P2.50mm,Unpolarized capacitor,https://www.vishay.com/docs/45171/kseries.pdf,C,C25,
4, 1, C23, C23,10nF,1,445-173474-1-ND,TDK Corporation,FG28C0G1H103JNT06,C_Disc_D4.7mm_W2.5mm_P5.00mm,Unpolarized capacitor,https://product.tdk.com/info/en/catalog/datasheets/leadmlcc_halogenfree_fg_en.pdf,C,C23,
5, 10, C3 C4 C9 C11 C13 C14 C17 C21 C22 C26, C3 C4 C9 C11 C13 C14 C17 C21 C22 C26,0.1uF,10,399-13932-ND,KEMET,C322C104J5R5TA,C_Disc_D5.1mm_W3.2mm_P5.00mm,Unpolarized capacitor,https://content.kemet.com/datasheets/KEM_C1050_GOLDMAX_X7R.pdf,C,C3 C4 C9 C11 C13 C14 C17 C21 C22 C26,
6, 1, C24, C24,1uF,1,399-13901-ND,KEMET,C330C105J5R5TA,C_Disc_D7.5mm_W4.4mm_P5.00mm,Unpolarized capacitor,https://product.tdk.com/info/en/catalog/datasheets/leadmlcc_halogenfree_fg_en.pdf,C,C24,
7, 9, C1 C2 C8 C10 C12 C18 C19 C20 C27, C1 C2 C8 C10 C12 C18 C19 C20 C27,10uF,9,445-173370-1-ND,TDK Corporation,FG24X7R1A106KRT06,C_Disc_D4.7mm_W2.5mm_P5.00mm,"Polarized capacitor, US symbol",https://product.tdk.com/info/en/catalog/datasheets/leadmlcc_halogenfree_fg_en.pdf,CP1,C1 C2 C8 C10 C12 C18 C19 C20 C27,
8, 3, C5 C6 C7, C5 C6 C7,220uF,3,P16296-ND,Panasonic Electronic Components,16SEPC220MD,CP_Radial_D8.0mm_P3.50mm,"Polarized capacitor, US symbol",https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C247.pdf,CP1,C5 C6 C7,
9, 11, D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11, D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11,1N5817,11,497-4547-1-ND,STMicroelectronics,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,"20V 1A Schottky Barrier Rectifier Diode, DO-41",https://www.st.com/content/ccc/resource/technical/document/datasheet/26/db/14/60/52/47/47/5b/CD00001625.pdf/files/CD00001625.pdf/jcr:content/translations/en.CD00001625.pdf,1N5817,D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11,
10, 1, DS1, DS1,NHD-0420CW-SPI,1,NHD-0420CW-AB3-ND,Newhaven Display Intl,NHD-0420CW-AB3,NHD_NHD-0420CW-AG3,"20x4 Character LCD Display Module Passive 5 x 8 Dots OLED Parallel, 8-Bit, I²C, SPI",https://www.newhavendisplay.com/specs/NHD-0420CW-AB3.pdf,NHD-0420CW-SPI,DS1,https://www.newhavendisplay.com/app_notes/US2066.pdf
11, 2, FB1 FB2, FB1 FB2,Ferrite_Bead,2,240-2493-ND,Laird-Signal Integrity Products,28C0236-0JW-10,LairdTech_28C0236-0JW-10,Ferrite bead,https://media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/Part%20Number%20Guide.pdf,Ferrite_Bead,FB1 FB2,
12, 1, J4, J4,Conn_01x20,1,S7053-ND,Sullins Connector Solutions,PPPC201LFBN-RC,PinSocket_1x20_P2.54mm_Vertical,"Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)",~,Conn_01x20,J4,
13, 1, J5, J5,Conn_01x20,1,S1211E-20-ND,Sullins Connector Solutions,PBC20SFAN,PinHeader_1x20_P2.54mm_Vertical,"Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)",~,Conn_01x20,J5,
14, 1, J2, J2,ISP,1,2057-PH2-06-UA-ND,Adam Tech,PH2-06-UA,PinHeader_2x03_P2.54mm_Vertical,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",~,Conn_02x03_Odd_Even,J2,
15, 1, J3, J3,SERIAL,1,2057-PH1-02-UA-ND,Adam Tech,PH1-02-UA,PinHeader_1x02_P2.54mm_Vertical,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",~,Conn_01x02,J3,
16, 1, J1, J1,SYS_PWR,1,732-10955-ND,Würth Elektronik,691137710002,TerminalBlock_bornier-2_P5.08mm,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",https://www.we-online.de/katalog/datasheet/691137710002.pdf,Screw_Terminal_01x02,J1,
17, 1, JP2, JP2,ISP_PWR,1,2057-PH1-03-UA-ND,Adam Tech,PH1-03-UA,PinHeader_1x03_P2.54mm_Vertical,"Dual jumper, normally closed",~,Jumper_NC_Dual,JP2,
18, 1, JP1, JP1,SYS_CFG,1,2057-PH1-02-UA-ND,Adam Tech,PH1-02-UA,PinHeader_1x02_P2.54mm_Vertical,"Jumper, 2-pole, open",~,Jumper_2_Open,JP1,
19, 1, L1, L1,33uH,1,308-2103-ND,Sumida America Components Inc.,RCH895NP-330K,L_Radial_D7.8mm_P5.00mm_Fastron_07HCP,Inductor,http://products.sumida.com/products/pdf/RCH-895.pdf,L,L1,
20, 1, LED1, LED1,Green,1,732-5007-ND,Würth Elektronik,151031VS04000,LED_D3.0mm,Light emitting diode,https://www.we-online.de/katalog/datasheet/151031VS04000.pdf,LED,LED1,
21, 1, LED3, LED3,Red,1,732-5005-ND,Würth Elektronik,151031SS04000,LED_D3.0mm,Light emitting diode,https://katalog.we-online.de/led/datasheet/151031SS04000.pdf,LED,LED3,
22, 2, LED2 LED4, LED2 LED4,Yellow,2,732-5010-ND,Würth Elektronik,151031YS06000,LED_D3.0mm,Light emitting diode,https://www.we-online.de/katalog/datasheet/151031YS06000.pdf,LED,LED2 LED4,
23, 1, MK1, MK1,CMA-4544PF-W,1,102-1721-ND,CUI Devices,CMA-4544PF-W,MIC_CMA-4544PF-W,,https://www.cuidevices.com/product/resource/cma-4544pf-w.pdf,CMA-4544PF-W,MK1,
24, 1, Q1, Q1,Q_NPN_EBC,1,KSP2222ABUFS-ND,ON Semiconductor,KSP2222ABU,TO-92,"NPN transistor, emitter/base/collector",https://www.onsemi.com/pub/Collateral/KSP2222A-D.PDF,Q_NPN_EBC,Q1,
25, 1, Q2, Q2,Q_PNP_CBE,1,PN2907-ND,ON Semiconductor,PN2907BU,TO-92,"PNP transistor, collector/base/emitter",https://media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/MMBT2907A_PN2907A_PZT2907A.pdf,Q_PNP_CBE,Q2,
26, 4, R21 R22 R23 R24, R21 R22 R23 R24,330,4,S330CACT-ND,Stackpole Electronics Inc,RNMF14FTC330R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,R21 R22 R23 R24,
27, 1, R17, R17,1K,1,RNF14FTD1K00CT-ND,Stackpole Electronics Inc,RNF14FTD1K00,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,R17,
28, 2, R29 R30, R29 R30,2K,2,RNF14FTD2K00CT-ND,Stackpole Electronics Inc,RNF14FTD2K00,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,"Resistor, US symbol",https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,R_US,R29 R30,
